% Model:              lens_cube.mph
% Version:            COMSOL 5.5.0.292
% Date:               Nov 26 2021, 17:41
% Dimension:          3
% Nodes:              2001
% Expressions:        1
% Description:        Electric field, z component
% Length unit:        m
% x                       y                        z                        es.Ez (V/m)
3.0E-5                    -2.5E-5                  -9.11E-4                 322.53556324599185
3.0E-5                    -2.5E-5                  -9.1E-4                  322.34873749159726
3.0E-5                    -2.5E-5                  -9.090000000000001E-4    322.1619117372014
3.0E-5                    -2.5E-5                  -9.080000000000001E-4    321.9750859828059
3.0E-5                    -2.5E-5                  -9.07E-4                 321.7882602284111
3.0E-5                    -2.5E-5                  -9.06E-4                 321.6014344740163
3.0E-5                    -2.5E-5                  -9.05E-4                 321.40222528890104
3.0E-5                    -2.5E-5                  -9.040000000000001E-4    321.2162904040518
3.0E-5                    -2.5E-5                  -9.03E-4                 321.03035551920345
3.0E-5                    -2.5E-5                  -9.02E-4                 320.8444206343544
3.0E-5                    -2.5E-5                  -9.01E-4                 320.6584857495051
3.0E-5                    -2.5E-5                  -9.0E-4                  320.4725508646555
3.0E-5                    -2.5E-5                  -8.990000000000001E-4    320.2866159798061
3.0E-5                    -2.5E-5                  -8.98E-4                 320.1006810949564
3.0E-5                    -2.5E-5                  -8.97E-4                 319.91474621010866
3.0E-5                    -2.5E-5                  -8.96E-4                 319.72881132525924
3.0E-5                    -2.5E-5                  -8.950000000000001E-4    319.5428764404102
3.0E-5                    -2.5E-5                  -8.94E-4                 319.3569415555608
3.0E-5                    -2.5E-5                  -8.93E-4                 319.17100667071065
3.0E-5                    -2.5E-5                  -8.92E-4                 318.985071785862
3.0E-5                    -2.5E-5                  -8.910000000000001E-4    318.7991369010135
3.0E-5                    -2.5E-5                  -8.900000000000001E-4    318.61320201616456
3.0E-5                    -2.5E-5                  -8.89E-4                 318.4272671313158
3.0E-5                    -2.5E-5                  -8.88E-4                 318.2413322464667
3.0E-5                    -2.5E-5                  -8.87E-4                 318.05539736161654
3.0E-5                    -2.5E-5                  -8.860000000000001E-4    317.8694624767679
3.0E-5                    -2.5E-5                  -8.85E-4                 317.6835275919181
3.0E-5                    -2.5E-5                  -8.84E-4                 317.4975927070691
3.0E-5                    -2.5E-5                  -8.83E-4                 317.31165782222035
3.0E-5                    -2.5E-5                  -8.82E-4                 317.12572293737077
3.0E-5                    -2.5E-5                  -8.810000000000001E-4    316.93978805252164
3.0E-5                    -2.5E-5                  -8.8E-4                  316.7538531676727
3.0E-5                    -2.5E-5                  -8.79E-4                 316.5679182828238
3.0E-5                    -2.5E-5                  -8.78E-4                 316.38198339797395
3.0E-5                    -2.5E-5                  -8.770000000000001E-4    316.19604851312477
3.0E-5                    -2.5E-5                  -8.76E-4                 316.0101136282755
3.0E-5                    -2.5E-5                  -8.75E-4                 315.82417874342707
3.0E-5                    -2.5E-5                  -8.74E-4                 315.6382438585771
3.0E-5                    -2.5E-5                  -8.730000000000001E-4    315.45230897372835
3.0E-5                    -2.5E-5                  -8.72E-4                 315.26637408887905
3.0E-5                    -2.5E-5                  -8.71E-4                 315.0804392040297
3.0E-5                    -2.5E-5                  -8.7E-4                  314.8945043191809
3.0E-5                    -2.5E-5                  -8.69E-4                 314.7085694343326
3.0E-5                    -2.5E-5                  -8.680000000000001E-4    314.52263454948235
3.0E-5                    -2.5E-5                  -8.67E-4                 314.33669966463344
3.0E-5                    -2.5E-5                  -8.66E-4                 314.1507647797844
3.0E-5                    -2.5E-5                  -8.65E-4                 313.96482989493467
3.0E-5                    -2.5E-5                  -8.64E-4                 313.77889501008525
3.0E-5                    -2.5E-5                  -8.63E-4                 313.5929601252365
3.0E-5                    -2.5E-5                  -8.62E-4                 313.4070252403866
3.0E-5                    -2.5E-5                  -8.61E-4                 313.22109035553933
3.0E-5                    -2.5E-5                  -8.600000000000001E-4    313.0351554706882
3.0E-5                    -2.5E-5                  -8.590000000000001E-4    312.8492205858399
3.0E-5                    -2.5E-5                  -8.58E-4                 312.66328570098983
3.0E-5                    -2.5E-5                  -8.57E-4                 312.4773508161417
3.0E-5                    -2.5E-5                  -8.56E-4                 312.2914159312918
3.0E-5                    -2.5E-5                  -8.550000000000001E-4    312.10548104644204
3.0E-5                    -2.5E-5                  -8.54E-4                 311.91954616159467
3.0E-5                    -2.5E-5                  -8.53E-4                 311.73361127674343
3.0E-5                    -2.5E-5                  -8.52E-4                 311.5476763918953
3.0E-5                    -2.5E-5                  -8.51E-4                 311.36174150704636
3.0E-5                    -2.5E-5                  -8.500000000000001E-4    311.175806622197
3.0E-5                    -2.5E-5                  -8.49E-4                 310.98987173734787
3.0E-5                    -2.5E-5                  -8.48E-4                 310.8039368525
3.0E-5                    -2.5E-5                  -8.47E-4                 310.61800196764995
3.0E-5                    -2.5E-5                  -8.46E-4                 310.43206708280064
3.0E-5                    -2.5E-5                  -8.45E-4                 310.2461321979515
3.0E-5                    -2.5E-5                  -8.44E-4                 310.0601973131022
3.0E-5                    -2.5E-5                  -8.43E-4                 309.8742624282544
3.0E-5                    -2.5E-5                  -8.420000000000001E-4    309.6883275434038
3.0E-5                    -2.5E-5                  -8.410000000000001E-4    309.5023926585553
3.0E-5                    -2.5E-5                  -8.4E-4                  309.3164577737044
3.0E-5                    -2.5E-5                  -8.39E-4                 309.1305228888554
3.0E-5                    -2.5E-5                  -8.38E-4                 308.9445880040075
3.0E-5                    -2.5E-5                  -8.370000000000001E-4    308.75865311915817
3.0E-5                    -2.5E-5                  -8.36E-4                 308.5727182343086
3.0E-5                    -2.5E-5                  -8.35E-4                 308.38678334945956
3.0E-5                    -2.5E-5                  -8.34E-4                 308.2008484646108
3.0E-5                    -2.5E-5                  -8.33E-4                 308.0149135797622
3.0E-5                    -2.5E-5                  -8.320000000000001E-4    307.828978694912
3.0E-5                    -2.5E-5                  -8.31E-4                 307.64304381006366
3.0E-5                    -2.5E-5                  -8.3E-4                  307.4571089252128
3.0E-5                    -2.5E-5                  -8.290000000000001E-4    307.27117404036443
3.0E-5                    -2.5E-5                  -8.280000000000001E-4    306.82857831613995
3.0E-5                    -2.5E-5                  -8.27E-4                 306.63587483087053
3.0E-5                    -2.5E-5                  -8.26E-4                 306.4431713456066
3.0E-5                    -2.5E-5                  -8.25E-4                 306.2504678603413
3.0E-5                    -2.5E-5                  -8.240000000000001E-4    306.05776437507495
3.0E-5                    -2.5E-5                  -8.230000000000001E-4    305.8650608898063
3.0E-5                    -2.5E-5                  -8.22E-4                 305.6723574045424
3.0E-5                    -2.5E-5                  -8.21E-4                 305.479653919274
3.0E-5                    -2.5E-5                  -8.2E-4                  305.28695043400853
3.0E-5                    -2.5E-5                  -8.190000000000001E-4    305.09424694874326
3.0E-5                    -2.5E-5                  -8.18E-4                 304.9015434634773
3.0E-5                    -2.5E-5                  -8.17E-4                 304.7088399782118
