% Model:              lens_cube.mph
% Version:            COMSOL 5.5.0.292
% Date:               Nov 26 2021, 17:37
% Dimension:          3
% Nodes:              2001
% Expressions:        1
% Description:        Electric field, z component
% Length unit:        m
% x                       y                        z                        es.Ez (V/m)
3.0E-5                    -2.5E-5                  -9.14E-4                 -70.78499415681446
3.0E-5                    -2.5E-5                  -9.13E-4                 -70.85064043646503
3.0E-5                    -2.5E-5                  -9.12E-4                 -70.91628671611574
3.0E-5                    -2.5E-5                  -9.11E-4                 -70.98193299576641
3.0E-5                    -2.5E-5                  -9.1E-4                  -71.04757927541694
3.0E-5                    -2.5E-5                  -9.090000000000001E-4    -71.11322555506757
3.0E-5                    -2.5E-5                  -9.080000000000001E-4    -71.17887183471825
3.0E-5                    -2.5E-5                  -9.07E-4                 -71.2445181143688
3.0E-5                    -2.5E-5                  -9.06E-4                 -71.31016439401934
3.0E-5                    -2.5E-5                  -9.05E-4                 -71.38130185769651
3.0E-5                    -2.5E-5                  -9.040000000000001E-4    -71.44645243037218
3.0E-5                    -2.5E-5                  -9.03E-4                 -71.5116030030478
3.0E-5                    -2.5E-5                  -9.02E-4                 -71.57675357572334
3.0E-5                    -2.5E-5                  -9.01E-4                 -71.64190414839898
3.0E-5                    -2.5E-5                  -9.0E-4                  -71.70705472107474
3.0E-5                    -2.5E-5                  -8.990000000000001E-4    -71.7722052937505
3.0E-5                    -2.5E-5                  -8.98E-4                 -71.8373558664262
3.0E-5                    -2.5E-5                  -8.97E-4                 -71.90250643910176
3.0E-5                    -2.5E-5                  -8.96E-4                 -71.96765701177732
3.0E-5                    -2.5E-5                  -8.950000000000001E-4    -72.03280758445293
3.0E-5                    -2.5E-5                  -8.94E-4                 -72.09795815712867
3.0E-5                    -2.5E-5                  -8.93E-4                 -72.16310872980449
3.0E-5                    -2.5E-5                  -8.92E-4                 -72.22825930248004
3.0E-5                    -2.5E-5                  -8.910000000000001E-4    -72.29340987515567
3.0E-5                    -2.5E-5                  -8.900000000000001E-4    -72.35856044783121
3.0E-5                    -2.5E-5                  -8.89E-4                 -72.42371102050687
3.0E-5                    -2.5E-5                  -8.88E-4                 -72.48886159318258
3.0E-5                    -2.5E-5                  -8.87E-4                 -72.5540121658582
3.0E-5                    -2.5E-5                  -8.860000000000001E-4    -72.61916273853386
3.0E-5                    -2.5E-5                  -8.85E-4                 -72.68431331120964
3.0E-5                    -2.5E-5                  -8.84E-4                 -72.74946388388531
3.0E-5                    -2.5E-5                  -8.83E-4                 -72.81461445656086
3.0E-5                    -2.5E-5                  -8.82E-4                 -72.87976502923662
3.0E-5                    -2.5E-5                  -8.810000000000001E-4    -72.94491560191224
3.0E-5                    -2.5E-5                  -8.8E-4                  -73.01006617458788
3.0E-5                    -2.5E-5                  -8.79E-4                 -73.07521674726348
3.0E-5                    -2.5E-5                  -8.78E-4                 -73.14036731993922
3.0E-5                    -2.5E-5                  -8.770000000000001E-4    -73.20551789261492
3.0E-5                    -2.5E-5                  -8.76E-4                 -73.27066846529056
3.0E-5                    -2.5E-5                  -8.75E-4                 -73.33581903796613
3.0E-5                    -2.5E-5                  -8.74E-4                 -73.40096961064178
3.0E-5                    -2.5E-5                  -8.730000000000001E-4    -73.46612018331743
3.0E-5                    -2.5E-5                  -8.72E-4                 -73.53127075599328
3.0E-5                    -2.5E-5                  -8.71E-4                 -73.59642132866892
3.0E-5                    -2.5E-5                  -8.7E-4                  -73.66157190134444
3.0E-5                    -2.5E-5                  -8.69E-4                 -73.72672247401992
3.0E-5                    -2.5E-5                  -8.680000000000001E-4    -73.7918730466958
3.0E-5                    -2.5E-5                  -8.67E-4                 -73.85702361937129
3.0E-5                    -2.5E-5                  -8.66E-4                 -73.92217419204681
3.0E-5                    -2.5E-5                  -8.65E-4                 -73.98732476472277
3.0E-5                    -2.5E-5                  -8.64E-4                 -74.0524753373985
3.0E-5                    -2.5E-5                  -8.63E-4                 -74.11762591007408
3.0E-5                    -2.5E-5                  -8.62E-4                 -74.18277648274973
3.0E-5                    -2.5E-5                  -8.61E-4                 -74.24792705542521
3.0E-5                    -2.5E-5                  -8.600000000000001E-4    -74.31307762810108
3.0E-5                    -2.5E-5                  -8.590000000000001E-4    -74.37822820077676
3.0E-5                    -2.5E-5                  -8.58E-4                 -74.44337877345245
3.0E-5                    -2.5E-5                  -8.57E-4                 -74.50852934612807
3.0E-5                    -2.5E-5                  -8.56E-4                 -74.57367991880375
3.0E-5                    -2.5E-5                  -8.550000000000001E-4    -74.63883049147938
3.0E-5                    -2.5E-5                  -8.54E-4                 -74.70398106415502
3.0E-5                    -2.5E-5                  -8.53E-4                 -74.76913163683078
3.0E-5                    -2.5E-5                  -8.52E-4                 -74.83428220950628
3.0E-5                    -2.5E-5                  -8.51E-4                 -74.89943278218195
3.0E-5                    -2.5E-5                  -8.500000000000001E-4    -74.96458335485775
3.0E-5                    -2.5E-5                  -8.49E-4                 -75.02973392753333
3.0E-5                    -2.5E-5                  -8.48E-4                 -75.09488450020865
3.0E-5                    -2.5E-5                  -8.47E-4                 -75.16003507288465
3.0E-5                    -2.5E-5                  -8.46E-4                 -75.22518564556026
3.0E-5                    -2.5E-5                  -8.45E-4                 -75.29033621823567
3.0E-5                    -2.5E-5                  -8.44E-4                 -75.35548679091146
3.0E-5                    -2.5E-5                  -8.43E-4                 -75.42063736358716
3.0E-5                    -2.5E-5                  -8.420000000000001E-4    -75.48578793626274
3.0E-5                    -2.5E-5                  -8.410000000000001E-4    -75.55093850893815
3.0E-5                    -2.5E-5                  -8.4E-4                  -75.61608908161423
3.0E-5                    -2.5E-5                  -8.39E-4                 -75.6812396542899
3.0E-5                    -2.5E-5                  -8.38E-4                 -75.74639022696525
3.0E-5                    -2.5E-5                  -8.370000000000001E-4    -75.81154079964098
3.0E-5                    -2.5E-5                  -8.36E-4                 -75.87669137231694
3.0E-5                    -2.5E-5                  -8.35E-4                 -75.94184194499243
3.0E-5                    -2.5E-5                  -8.34E-4                 -76.00699251766792
3.0E-5                    -2.5E-5                  -8.33E-4                 -76.0721430903438
3.0E-5                    -2.5E-5                  -8.320000000000001E-4    -76.13729366301926
3.0E-5                    -2.5E-5                  -8.31E-4                 -76.202444235695
3.0E-5                    -2.5E-5                  -8.3E-4                  -76.26759480837089
3.0E-5                    -2.5E-5                  -8.290000000000001E-4    -76.33274538104654
3.0E-5                    -2.5E-5                  -8.280000000000001E-4    -76.58964460258812
3.0E-5                    -2.5E-5                  -8.27E-4                 -76.65811819746665
3.0E-5                    -2.5E-5                  -8.26E-4                 -76.72659179234435
3.0E-5                    -2.5E-5                  -8.25E-4                 -76.79506538722244
3.0E-5                    -2.5E-5                  -8.240000000000001E-4    -76.8635389821009
3.0E-5                    -2.5E-5                  -8.230000000000001E-4    -76.9320125769793
3.0E-5                    -2.5E-5                  -8.22E-4                 -77.0004861718576
3.0E-5                    -2.5E-5                  -8.21E-4                 -77.06895976673549
3.0E-5                    -2.5E-5                  -8.2E-4                  -77.13743336161356
3.0E-5                    -2.5E-5                  -8.190000000000001E-4    -77.205906956492
