0	4e+08	-1.8e+08	7e+07	-4e+07	4e+07	-2e+07
1	4.9e+08	-1.8e+08	9e+07	-4e+07	5e+07	-2e+07
2	6.24e+09	-1.7e+08	1.1e+09	-3e+07	5.4e+08	-2e+07
3	1.31e+09	-1.7e+08	2.3e+08	-3e+07	1.2e+08	-2e+07
4	4e+08	-1.8e+08	7e+07	-4e+07	4e+07	-2e+07
5	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
6	2.3e+08	-2.1e+08	4e+07	-4e+07	3e+07	-2e+07
7	1.7e+08	-1.41e+09	3e+07	-2.5e+08	2e+07	-1.2e+08
8	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
9	5e+08	-1.8e+08	9e+07	-4e+07	4e+07	-2e+07
10	2.4e+08	-2.1e+08	5e+07	-4e+07	2e+07	-2e+07
11	7.3e+09	-1.7e+08	1.28e+09	-4e+07	6.3e+08	-2e+07
12	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
13	8.9e+08	-1.7e+08	1.6e+08	-3e+07	8e+07	-2e+07
14	5.1e+08	-1.7e+08	9e+07	-4e+07	5e+07	-2e+07
15	5.5e+08	-1.7e+08	1e+08	-3e+07	5e+07	-2e+07
16	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
17	1.7e+08	-2.69e+09	4e+07	-4.7e+08	2e+07	-2.3e+08
18	4.84e+09	-1.7e+08	8.5e+08	-3e+07	4.2e+08	-2e+07
19	4.7e+08	-1.7e+08	9e+07	-3e+07	5e+07	-2e+07
20	4.9e+08	-1.8e+08	9e+07	-4e+07	5e+07	-2e+07
21	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
22	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
23	5.11e+09	-1.7e+08	9e+08	-3e+07	4.4e+08	-2e+07
24	5e+08	-1.7e+08	9e+07	-3e+07	5e+07	-2e+07
25	1.7e+08	-4.91e+09	3e+07	-8.6e+08	2e+07	-4.2e+08
26	1.7e+08	-5.78e+09	3e+07	-1.01e+09	2e+07	-5e+08
27	6e+08	-1.7e+08	1.1e+08	-3e+07	6e+07	-2e+07
28	3.57e+09	-1.7e+08	6.3e+08	-3e+07	3.1e+08	-2e+07
29	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
30	3.1e+08	-1.9e+08	6e+07	-4e+07	3e+07	-2e+07
31	2.6e+08	-2.1e+08	5e+07	-4e+07	3e+07	-2e+07
32	9.5e+08	-1.7e+08	1.7e+08	-3e+07	9e+07	-2e+07
33	4.8e+08	-1.8e+08	9e+07	-3e+07	4e+07	-2e+07
34	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
35	5e+08	-1.7e+08	9e+07	-4e+07	5e+07	-2e+07
36	4e+09	-1.7e+08	5e+08	-3e+07	2.5e+08	-2e+07
37	4.8e+08	-1.8e+08	9e+07	-4e+07	5e+07	-2e+07
38	3.34e+09	-1.7e+08	5.9e+08	-3e+07	4e+08	-2e+07
39	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
40	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
41	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
42	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
43	9.02e+09	-1.7e+08	1.58e+09	-3e+07	7.8e+08	-2e+07
44	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
45	8.8e+08	-1.7e+08	1.6e+08	-3e+07	8e+07	-2e+07
46	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
47	3.6e+08	-1.7e+08	7e+07	-3e+07	4e+07	-2e+07
48	7.3e+08	-1.7e+08	1.3e+08	-3e+07	7e+07	-2e+07
49	6.56e+09	-1.7e+08	1.15e+09	-3e+07	5.7e+08	-2e+07
50	1.7e+08	-4.14e+09	3e+07	-7.3e+08	2e+07	-3.6e+08
51	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
52	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
53	8.8e+08	-1.7e+08	1.6e+08	-3e+07	8e+07	-2e+07
54	4.9e+08	-1.8e+08	9e+07	-4e+07	5e+07	-2e+07
55	9.21e+09	-1.7e+08	1.61e+09	-3e+07	7.9e+08	-2e+07
56	4.4e+08	-1.7e+08	8e+07	-3e+07	4e+07	-2e+07
57	5.27e+09	-1.7e+08	9.3e+08	-3e+07	4.6e+08	-2e+07
58	2.4e+08	-2.2e+08	5e+07	-4e+07	3e+07	-2e+07
59	5.05e+09	-1.7e+08	8.9e+08	-3e+07	4.4e+08	-2e+07
60	4.9e+08	-1.8e+08	9e+07	-4e+07	5e+07	-2e+07
61	1.76e+09	-1.7e+08	3.1e+08	-3e+07	1.6e+08	-2e+07
62	4.8e+08	-1.8e+08	9e+07	-4e+07	5e+07	-2e+07
63	4.17e+09	-1.7e+08	7.3e+08	-4e+07	3.6e+08	-2e+07
64	8.72e+09	-1.7e+08	1.53e+09	-3e+07	7.5e+08	-2e+07
