13.0	6.07139e-015	1.89374e-015	1.16621	0.0388638
26.0	1.50093e-015	7.26216e-016	-0.970832	0.337677
39.0	3.25646e-015	1.64571e-015	-2.6577	0.052222
52.0	2.95449e-015	1.63691e-015	0.533717	1.33285
65.0	3.60261e-015	1.19636e-015	-0.443879	0.129553
78.0	2.33945e-015	1.54584e-015	-1.64865	1.5328
91.0	1.01762e-015	5.36162e-016	-0.794658	1.86867
104.0	1.52782e-015	6.77843e-016	2.92672	0.122016
117.0	8.04196e-016	3.23928e-016	1.93747	0.629811
130.0	9.74647e-016	1.60755e-016	0.0477083	0.344349
143.0	1.21839e-015	3.5202e-016	-2.46069	0.146877
156.0	1.28464e-015	4.01594e-016	1.97187	0.178366
169.0	1.29339e-015	1.39221e-016	-0.147037	0.1377
182.0	8.61195e-016	3.08336e-016	-1.94854	0.288481
195.0	4.73414e-016	1.76153e-016	1.75241	1.65234
208.0	2.7442e-016	1.4451e-016	0.953651	1.46171
221.0	3.38944e-016	6.00705e-017	-0.102127	0.608046
234.0	2.13345e-016	1.34191e-016	-2.01818	0.534467
247.1	3.24595e-016	7.46221e-017	1.89725	1.77898
260.0	3.13815e-016	3.50124e-017	0.108719	0.674413
273.9	2.10121e-016	7.73739e-017	3.63669	2.16346
286.0	1.23371e-016	5.45902e-017	1.08888	0.295378
299.0	1.02958e-016	3.84946e-017	-1.02226	0.376101
312.0	9.48407e-017	1.05828e-017	-1.89669	0.491501
325.0	6.53585e-017	4.93785e-017	-0.379568	1.7686
338.0	4.64996e-017	2.9061e-017	-1.56286	0.993945
351.0	7.348e-017	4.01663e-017	-0.659563	2.21946
364.0	2.40939e-016	6.17623e-017	0.412098	0.405895
377.0	3.44917e-016	7.52859e-017	-1.85863	0.318089
390.0	2.53808e-016	6.67612e-017	2.13028	0.402163
403.0	3.04844e-016	8.99674e-017	0.15602	0.354383
416.0	2.87785e-016	1.22749e-016	-1.33131	1.68629
429.0	4.5356e-016	1.26412e-016	-1.04763	0.502477
442.0	8.3729e-016	1.09831e-016	2.75596	0.152516
455.0	8.38912e-016	3.30708e-016	0.707501	0.226428
468.9	8.0219e-016	4.55887e-016	4.60723	2.14511
481.0	3.7454e-016	1.69204e-016	-0.784414	2.13838
494.0	7.80975e-016	3.5321e-016	1.68849	1.5308
507.0	1.00997e-015	3.25184e-016	0.833262	0.341973
